Exercise,Threshold,ThresholdWithLowPass,Fourier,RMSE
arm,1.99263349247,9.65431936249,8.07755957742,7.35806675957
bicep,16.7032930885,7.35980072194,12.2927602252,12.7053613437
bridge,13.9443337756,14.3884598821,7.06704472957,12.2666939778
crunch,7.32120208709,8.55736942223,12.1835067602,9.57890753001
elbow,13.699148392,10.1953148281,10.5681509921,11.5944947641
lift,13.4680692339,9.97357620025,7.45203881205,10.5892082418
lunge,16.9497527311,1.83110381368,0.759825477583,9.85265435606
pushup,10.5288718701,1.38873014966,3.69600939802,6.49220557684
squat,10.7144761888,1.50237906573,0.929425368798,6.26952880668
upper,19.0633618417,9.76638894071,14.1076744839,14.807887504
RMSE,13.3802831339,8.68505800546,9.00110368474
