"['Tacc_S14arm1_0.csv', 0]"
"['Tacc_S10elbow1_0.csv', 13]"
"['Tacc_S18elbow1_0.csv', 1]"
"['Tacc_S14lunge2_0.csv', 3]"
"['Tacc_S13upper1_0.csv', 12]"
"['Tacc_S12bicep2_0.csv', 4]"
"['Tacc_S18arm1_0.csv', 0]"
"['Tacc_S18bicep2_0.csv', 4]"
"['Tacc_S18crunch2_0.csv', 7]"
"['Tacc_S18lift2_0.csv', 16]"
"['Tacc_S10bicep2_0.csv', 14]"
"['Tacc_S14pushup2_0.csv', 1]"
"['Tacc_S12crunch2_0.csv', 8]"
"['Tacc_S13elbow2_0.csv', 9]"
"['Tacc_S11pushup1_0.csv', 7]"
"['Tacc_S14squat2_0.csv', 22]"
"['Tacc_S15crunch2_0.csv', 1]"
"['Tacc_S17upper2_0.csv', 2]"
"['Tacc_S1lift1_0t.csv', 15]"
"['Tacc_S17lift1_0.csv', 13]"
"['Tacc_S16bicep2_0.csv', 23]"
"['Tacc_S17bridge2_0.csv', 18]"
"['Tacc_S18lunge2_0.csv', 26]"
"['Tacc_S15squat2_0.csv', 12]"
"['Tacc_S12squat2_0.csv', 26]"
"['Tacc_S17lift2_0.csv', 14]"
"['Tacc_S12arm2_0.csv', 1]"
"['Tacc_S13lift1_0.csv', 22]"
"['Tacc_S14lunge1_0.csv', 8]"
"['Tacc_S13lunge2_0.csv', 9]"
"['Tacc_S16lift2_0.csv', 12]"
"['Tacc_S16lunge2_0.csv', 23]"
"['Tacc_S13arm2_0.csv', 1]"
"['Tacc_S13crunch1_0.csv', 3]"
"['Tacc_S14bicep2_0.csv', 14]"
"['Tacc_S13squat1_0.csv', 0]"
"['Tacc_S11lift2_0.csv', 8]"
"['Tacc_S1arm2_0t.csv', 1]"
"['Tacc_S13elbow1_0.csv', 2]"
"['Tacc_S16elbow2_0.csv', 24]"
"['Tacc_S18upper2_0.csv', 5]"
"['Tacc_S1elbow1_0t.csv', 26]"
"['Tacc_S16bridge1_0.csv', 18]"
"['Tacc_S17pushup2_0.csv', 4]"
"['Tacc_S17squat2_0.csv', 11]"
"['Tacc_S16arm2_0.csv', 1]"
"['Tacc_S1bicep2_0t.csv', 10]"
"['Tacc_S11crunch1_0.csv', 6]"
"['Tacc_S15lift1_0.csv', 18]"
"['Tacc_S14arm2_0.csv', 3]"
"['Tacc_S15bicep2_0.csv', 21]"
"['Tacc_S1bridge2_0t.csv', 1]"
"['Tacc_S13bridge1_0.csv', 12]"
"['Tacc_S11bicep1_0.csv', 25]"
"['Tacc_S17bridge1_0.csv', 8]"
"['Tacc_S15bridge2_0.csv', 16]"
"['Tacc_S14elbow2_0.csv', 28]"
"['Tacc_S13bicep1_0.csv', 21]"
"['Tacc_S10lift2_0.csv', 14]"
"['Tacc_S16squat1_0.csv', 11]"
"['Tacc_S17crunch2_0.csv', 5]"
"['Tacc_S15upper2_0.csv', 13]"
"['Tacc_S16upper1_0.csv', 14]"
"['Tacc_S13pushup2_0.csv', 5]"
"['Tacc_S1arm1_0t.csv', 4]"
"['Tacc_S12elbow1_0.csv', 21]"
"['Tacc_S11lunge1_0.csv', 24]"
"['Tacc_S1upper2_0t.csv', 20]"
"['Tacc_S17bicep2_0.csv', 13]"
"['Tacc_S12crunch1_0.csv', 2]"
"['Tacc_S11upper2_0.csv', 37]"
"['Tacc_S1bridge1_0t.csv', 24]"
"['Tacc_S1bicep1_0t.csv', 14]"
"['Tacc_S17arm2_0.csv', 0]"
"['Tacc_S17elbow1_0.csv', 5]"
"['Tacc_S14bicep1_0.csv', 14]"
"['Tacc_S11arm2_0.csv', 7]"
"['Tacc_S13pushup1_0.csv', 1]"
"['Tacc_S11elbow2_0.csv', 1]"
"['Tacc_S10lift1_0.csv', 17]"
"['Tacc_S1lunge1_0t.csv', 14]"
"['Tacc_S1squat1_0t.csv', 2]"
"['Tacc_S1lift2_0t.csv', 19]"
"['Tacc_S17pushup1_0.csv', 2]"
"['Tacc_S1crunch1_0t.csv', 4]"
"['Tacc_S12lift1_0.csv', 17]"
"['Tacc_S16elbow1_0.csv', 10]"
"['Tacc_S11squat2_0.csv', 2]"
"['Tacc_S16squat2_0.csv', 20]"
"['Tacc_S1crunch2_0t.csv', 2]"
"['Tacc_S17lunge1_0.csv', 15]"
"['Tacc_S18arm2_0.csv', 0]"
"['Tacc_S18squat1_0.csv', 16]"
"['Tacc_S15bicep1_0.csv', 17]"
"['Tacc_S15pushup2_0.csv', 4]"
"['Tacc_S18squat2_0.csv', 14]"
"['Tacc_S10lunge2_0.csv', 15]"
"['Tacc_S12bridge1_0.csv', 7]"
"['Tacc_S12bicep1_0.csv', 23]"
"['Tacc_S18bridge1_0.csv', 1]"
"['Tacc_S10squat2_0.csv', 8]"
"['Tacc_S13bicep2_0.csv', 21]"
"['Tacc_S18lift1_0.csv', 27]"
"['Tacc_S14elbow1_0.csv', 29]"
"['Tacc_S12squat1_0.csv', 1]"
"['Tacc_S10squat1_0.csv', 8]"
"['Tacc_S14lift2_0.csv', 1]"
"['Tacc_S11squat1_0.csv', 6]"
"['Tacc_S15lunge2_0.csv', 21]"
"['Tacc_S10bicep1_0.csv', 26]"
"['Tacc_S13lift2_0.csv', 18]"
"['Tacc_S18pushup2_0.csv', 14]"
"['Tacc_S16lift1_0.csv', 3]"
"['Tacc_S15elbow2_0.csv', 9]"
"['Tacc_S14squat1_0.csv', 14]"
"['Tacc_S13upper2_0.csv', 13]"
"['Tacc_S16bicep1_0.csv', 25]"
"['Tacc_S12elbow2_0.csv', 3]"
"['Tacc_S17squat1_0.csv', 4]"
